icecap_collection_x64                                                          17.10.34804      
Windows SDK                                                                    10.1.22621.3233  
vs_FileTracker_Singleton                                                       17.10.34804      
DiagnosticsHub_CollectionService                                               17.10.34627      
Windows SDK ARM Desktop Tools                                                  10.1.22621.3233  
Go Programming Language amd64 go1.23.2                                         1.23.2           
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)                   64.60.31149      
Microsoft .NET Framework 4.7.2 Targeting Pack                                  4.7.03062        
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030                     11.0.61030       
Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)                                 14.2.8053        
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)                                64.0.15042       
Microsoft ASP.NET Core 8.0.7 Targeting Pack (x64)                              8.0.7.24314      
vs_CoreEditorFonts                                                             17.7.40001       
Microsoft Update Health Tools                                                  5.72.0.0         
Windows Team Extension SDK Contracts                                           10.1.22621.3233  
SQL Server 2022 DMF                                                            16.0.1000.6      
Integration Services                                                           16.0.5491.7      
Universal CRT Redistributable                                                  10.1.22621.3233  
GitHub CLI                                                                     2.66.1           
Node.js                                                                        22.13.0          
SSMS Post Install Tasks                                                        20.2.30.0        
Microsoft ASP.NET Core 8.0.7 Shared Framework (x86)                            8.0.7.24314      
Epic Games Launcher                                                            1.3.93.0         
Python 3.12.4 Executables (64-bit)                                             3.12.4150.0      
Universal CRT Headers Libraries and Sources                                    10.1.22621.3233  
Windows SDK Desktop Headers arm                                                10.1.22621.3233  
MSI Development Tools                                                          10.1.22621.3233  
Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)                                  8.0.61           
Microsoft .NET Runtime - 6.0.36 (x64)                                          48.144.23141     
Microsoft Windows Desktop Runtime - 8.0.7 (x64)                                64.28.16739      
Microsoft .NET 8.0 Templates 8.0.311 (x64)                                     32.11.59845      
Dell Digital Delivery                                                          3.5.2015.0       
vs_minshellmsires                                                              17.10.34804      
SDK ARM Redistributables                                                       10.1.22621.3233  
Windows SDK Desktop Headers x86                                                10.1.22621.3233  
Python 3.12.4 Standard Library (64-bit)                                        3.12.4150.0      
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.40.33810                      14.40.33810      
VS Immersive Activate Helper                                                   17.0.125.0       
Windows SDK DirectX x64 Remote                                                 10.1.22621.3233  
vcpp_crt.redist.clickonce                                                      14.40.33810      

